id,buyerName,lenderName,address,recordingDate,saleValue,loanAmount
1,BADILLO EXCHANGE GROUP INC,CENTER STREET LNDG VIII SPE LL,611 N AVENUE 48,2025-06-30,525000,663000
2,HM HOMES INC,COREVEST AMERICAN FIN LNDR LLC,1900 VINE ST APT 214,2025-06-30,400000,495000
3,J WEST COAST CONSTRUCTION LLC,PARK PLACE FINANCE LLC,426 W 63RD PL,2025-06-30,375000,332500
4,INTERNATIONAL INVESTMENTS TRADING AND CONSULT,YOURA FAMILY LIVING TRUST,442 W 93RD ST,2025-06-30,2500000,1625000
5,HOMEPPORTUNITY INVESTMENTS LLC,FIRST CHOICE FUNDING INC,215 E 73RD ST,2025-06-30,300000,250000
6,SJO INVESTMENTS LLC,KIAVI FUNDING INC,1900 W 41ST ST,2025-06-30,750000,911000
7,LA23L LLC,ISLB TRUST,7836 DUNBARTON AVE,2025-06-27,1400000,2240000
8,KOLANGI CONSTRUCTION LLC,CONVENTUS LLC,11404 BIONA DR,2025-06-27,1300000,1415000
9,C SQUARED CAPITAL LLC,RESID CAP PTRS SECURED LN FUND,725 CORONEL ST,2025-06-27,590000,680000
10,OCEAN DEVELOPMENT INC,FORGE TRUST CO,151 E 105TH ST,2025-06-27,550000,500000
11,BUTTERFLY JONES INVESTMENTS LLC,KIAVI FUNDING INC,12226 BERENDO AVE,2025-06-27,520000,548300
12,MS83 INVESTMENTS LLC,ASCENT DEVELOPER SOLUTIONS LLC,2703 W 132ND ST,2025-06-27,460000,455400
13,CHIMAY ENTERPRISES LLC,GENESIS CAPITAL LLC,1501 PLEASANT AVE,2025-06-26,610000,755593
14,SAWTELLE309 LLC,FIRST GENERAL BANK,10548 AYRES AVE,2025-06-26,1895000,995000
15,GALAXY INVESTMENT PARTNERS FUND LLC,BANK OF AMERICA NA,1200 N DOHENY DR,2025-06-26,5021500,2000000
16,MR REHAB INC,LEGACY LENDING LLC,5282 TOWNSEND AVE,2025-06-26,1050000,1209175
17,WRT INVESTMENTS INC,ANCHOR LOANS LP,547 W 106TH ST,2025-06-26,565000,583500
18,BARRINGTON VISION LLC,JPMORGAN CHASE BANK NA,3252 S BARRINGTON AVE,2025-06-25,2000000,1450000
19,CALDEV LLC,GENESIS CAPITAL LLC,1471 RIDGE WAY,2025-06-25,1600000,1650000
